Stopping Criterion,Distribution,MC/QMC,mean_shift,solution,n_samples,time
CubMCG,IIDStdGaussian,MC,2.3,1.78755940685836,229590.0,0.2021935780843099
CubMCG,IIDStdGaussian,MC,2.4,1.7848821353272377,267153.0,0.2517983118693034
CubMCG,IIDStdGaussian,MC,2.5,1.779286113387122,313687.0,0.2878243923187256
CubMCG,IIDStdGaussian,MC,2.6,1.7744863050398603,372020.0,0.32025766372680664
CubMCG,IIDStdGaussian,MC,2.7,1.7780260460511876,441363.0,0.39870738983154297
CubMCG,IIDStdGaussian,MC,2.8,1.7694297136057446,526768.0,0.46029218037923175
CubMCG,IIDStdGaussian,MC,2.9,1.7694010758696386,625486.0,0.5417000452677408
CubMCG,IIDStdGaussian,MC,3.0,1.763940968790293,726104.0,0.6279090245564779
CubQMCCLT,Lattice,QMC,-0.2,1.7727743088023846,16384.0,0.0545806090037028
CubQMCCLT,Lattice,QMC,-0.1,1.776197600828123,16384.0,0.0447234312693278
CubQMCCLT,Lattice,QMC,0.0,1.778529501114383,16384.0,0.04492902755737305
CubQMCCLT,Lattice,QMC,0.1,1.784822823585685,8192.0,0.025597651799519856
CubQMCCLT,Lattice,QMC,0.2,1.7855991054179743,8192.0,0.02513408660888672
CubQMCCLT,Lattice,QMC,0.3,1.7857727656227098,8192.0,0.025214989980061848
CubQMCCLT,Lattice,QMC,0.4,1.784398239028943,4096.0,0.013750632603963217
CubQMCCLT,Lattice,QMC,0.5,1.7860799424661125,4096.0,0.013480742772420248
CubQMCCLT,Lattice,QMC,0.6,1.7867145301189984,4096.0,0.013546625773111979
CubQMCCLT,Lattice,QMC,0.7,1.7813616642351568,8192.0,0.025331656138102215
CubQMCCLT,Lattice,QMC,0.8,1.780407913821745,8192.0,0.025468985239664715
CubQMCCLT,Lattice,QMC,0.9,1.7798808637815224,8192.0,0.02533729871114095
CubQMCCLT,Lattice,QMC,1.0,1.7793700610972738,8192.0,0.025430679321289062
CubQMCCLT,Lattice,QMC,1.1,1.7786587618705856,8192.0,0.025741020838419598
CubQMCCLT,Lattice,QMC,1.2,1.7779135850867593,8192.0,0.02520306905110677
CubQMCCLT,Lattice,QMC,1.3,1.787948892129996,16384.0,0.04487379391988119
CubQMCCLT,Lattice,QMC,1.4,1.7874699892280441,16384.0,0.04507009188334147
CubQMCCLT,Lattice,QMC,1.5,1.7865875705029233,16384.0,0.045389811197916664
CubQMCCLT,Lattice,QMC,1.6,1.7854203108055033,16384.0,0.04490168889363607
CubQMCCLT,Lattice,QMC,1.7,1.7848873491016644,16384.0,0.045565525690714516
CubQMCCLT,Lattice,QMC,1.8,1.7834573307112003,16384.0,0.04631702105204264
CubQMCCLT,Lattice,QMC,1.9,1.7825659166687522,32768.0,0.07903162638346355
CubQMCCLT,Lattice,QMC,2.0,1.7821772910993976,32768.0,0.07913939158121745
CubQMCCLT,Lattice,QMC,2.1,1.780966288701259,32768.0,0.07903631528218587
CubQMCCLT,Lattice,QMC,2.2,1.7789417210267127,32768.0,0.07892131805419922
CubQMCCLT,Lattice,QMC,2.3,1.7792724874318544,32768.0,0.08194303512573242
CubQMCCLT,Lattice,QMC,2.4,1.7783838403574517,32768.0,0.08211898803710938
CubQMCCLT,Lattice,QMC,2.5,1.7857739756780069,262144.0,0.5706271330515543
CubQMCCLT,Lattice,QMC,2.6,1.7857115012200964,1048576.0,2.3082223733266196
CubQMCCLT,Lattice,QMC,2.7,1.7856375257768022,2097152.0,4.518990755081177
CubQMCCLT,Lattice,QMC,2.8,1.786225110812211,2097152.0,4.633380651473999
CubQMCCLT,Lattice,QMC,2.9,1.7869816853796994,2097152.0,4.6105639934539795
CubQMCCLT,Lattice,QMC,3.0,1.787640285328702,2097152.0,4.702309528986613
CubQMCCLT,Sobol,QMC,-0.2,1.7775586679783226,16384.0,0.0439599355061849
CubQMCCLT,Sobol,QMC,-0.1,1.7784255988067736,16384.0,0.035545667012532554
CubQMCCLT,Sobol,QMC,0.0,1.780001156670406,16384.0,0.03410911560058594
CubQMCCLT,Sobol,QMC,0.1,1.7633843584656657,4096.0,0.010612249374389648
CubQMCCLT,Sobol,QMC,0.2,1.7689137372017971,4096.0,0.010635296503702799
CubQMCCLT,Sobol,QMC,0.3,1.7722082613057941,4096.0,0.010332981745402018
CubQMCCLT,Sobol,QMC,0.4,1.7751676965077576,4096.0,0.010068098704020182
CubQMCCLT,Sobol,QMC,0.5,1.7779907707499294,4096.0,0.009824752807617188
CubQMCCLT,Sobol,QMC,0.6,1.7811034529430214,4096.0,0.009884993235270182
CubQMCCLT,Sobol,QMC,0.7,1.7841622723225303,4096.0,0.009879668553670248
CubQMCCLT,Sobol,QMC,0.8,1.7863261070858076,4096.0,0.01024015744527181
CubQMCCLT,Sobol,QMC,0.9,1.7876639512338335,4096.0,0.009736299514770508
CubQMCCLT,Sobol,QMC,1.0,1.7880204150812407,4096.0,0.009938716888427734
CubQMCCLT,Sobol,QMC,1.1,1.7899123996703523,4096.0,0.009928067525227865
CubQMCCLT,Sobol,QMC,1.2,1.7919468492828077,4096.0,0.009622017542521158
CubQMCCLT,Sobol,QMC,1.3,1.792251399907685,4096.0,0.009787797927856445
CubQMCCLT,Sobol,QMC,1.4,1.78951618655985,4096.0,0.010023355484008789
CubQMCCLT,Sobol,QMC,1.5,1.7897138629668976,4096.0,0.009763320287068685
CubQMCCLT,Sobol,QMC,1.6,1.7873572059727152,8192.0,0.019030094146728516
CubQMCCLT,Sobol,QMC,1.7,1.790030653576905,8192.0,0.01919690767923991
CubQMCCLT,Sobol,QMC,1.8,1.7826738500603003,16384.0,0.036754608154296875
CubQMCCLT,Sobol,QMC,1.9,1.7834486542644747,16384.0,0.03528738021850586
CubQMCCLT,Sobol,QMC,2.0,1.7861401522253495,16384.0,0.034920056660970054
CubQMCCLT,Sobol,QMC,2.1,1.7838713343444663,32768.0,0.06205304463704427
CubQMCCLT,Sobol,QMC,2.2,1.7854056317155285,32768.0,0.06134939193725586
CubQMCCLT,Sobol,QMC,2.3,1.7870015393639178,32768.0,0.06093732515970866
CubQMCCLT,Sobol,QMC,2.4,1.7868885998706512,32768.0,0.06320865948994954
CubQMCCLT,Sobol,QMC,2.5,1.7838410676317438,32768.0,0.061574856440226235
CubQMCCLT,Sobol,QMC,2.6,1.7760063291745485,65536.0,0.12358363469441731
CubQMCCLT,Sobol,QMC,2.7,1.7762970195362628,65536.0,0.12095753351847331
CubQMCCLT,Sobol,QMC,2.8,1.7796008895179014,65536.0,0.1302934487660726
CubQMCCLT,Sobol,QMC,2.9,1.7756401179374866,131072.0,0.23769275347391763
CubQMCCLT,Sobol,QMC,3.0,1.775788444610285,131072.0,0.2289102872212728
CubQMCLatticeG,Lattice,QMC,-0.2,1.7782819708364732,4096.0,0.018815279006958008
CubQMCLatticeG,Lattice,QMC,-0.1,1.7944966474908834,2048.0,0.010991334915161133
CubQMCLatticeG,Lattice,QMC,0.0,1.7939783321198084,2048.0,0.009962638219197592
