Stopping Criterion,Distribution,MC/QMC,abs_tol,solution,n_samples,time
CLT,IIDStdUniform,MC,0.007400000000000002,2.169236194628496,860054.0,0.3324111046664863
CLT,IIDStdUniform,MC,0.007600000000000003,2.169344623435902,815490.0,0.3178354843330453
CLT,IIDStdUniform,MC,0.007800000000000003,2.1710252744263627,774310.0,0.3045746713335878
CLT,IIDStdUniform,MC,0.008000000000000004,2.1710896602545313,736180.0,0.2866600806664792
CLT,IIDStdUniform,MC,0.008200000000000002,2.171838869343812,700805.0,0.27289846266648965
CLT,IIDStdUniform,MC,0.008400000000000003,2.172202574742823,667927.0,0.2598018846656487
CLT,IIDStdUniform,MC,0.008600000000000003,2.172421800179332,637316.0,0.24932881833410647
CLT,IIDStdUniform,MC,0.008800000000000002,2.1739283445929796,608769.0,0.2412089930003276
CLT,IIDStdUniform,MC,0.009000000000000003,2.173254671059502,582103.0,0.23067122099928383
CLT,IIDStdUniform,MC,0.009200000000000003,2.173361142590913,557157.0,0.22255030233342646
CLT,IIDStdUniform,MC,0.009400000000000004,2.173818457486013,533787.0,0.21234388033371943
CLT,IIDStdUniform,MC,0.009600000000000004,2.174252112860526,511862.0,0.20493846033302057
CLT,IIDStdUniform,MC,0.009800000000000003,2.1744428422151882,491266.0,0.19671594533307749
CLT,IIDStdUniform,MC,0.010000000000000004,2.17444675007357,471893.0,0.19104531166643332
CLT,IIDStdUniform,MC,0.010200000000000004,2.174705281886696,453648.0,0.18309571399974325
CLT,IIDStdUniform,MC,0.010400000000000005,2.1746386463157585,436446.0,0.1776807550001346
CLT,IIDStdUniform,MC,0.010600000000000004,2.1746878540896226,420208.0,0.17137326166630373
CLT,IIDStdUniform,MC,0.010800000000000004,2.1736385791592516,404864.0,0.16652428499946836
CLT,IIDStdUniform,MC,0.011000000000000005,2.173311584696873,390349.0,0.16106656533338537
CLT,IIDStdUniform,MC,0.011200000000000003,2.1749247848458895,376605.0,0.1575428196659535
CLT,IIDStdUniform,MC,0.011400000000000004,2.174718064138848,363578.0,0.1520369669997308
CLT,IIDStdUniform,MC,0.011600000000000004,2.1738656664386826,351219.0,0.14752205599991916
CLT,IIDStdUniform,MC,0.011800000000000005,2.174845817217503,339483.0,0.14237507000022256
CLT,IIDStdUniform,MC,0.012000000000000005,2.1754999380286697,328329.0,0.1385079339997901
CLT,IIDStdUniform,MC,0.012200000000000004,2.1766357783046266,317719.0,0.13565965833367954
CLT,IIDStdUniform,MC,0.012400000000000005,2.1770810643900607,307618.0,0.13229198166724623
CLT,IIDStdUniform,MC,0.012600000000000005,2.1770641632470022,297995.0,0.12857706633258204
CLT,IIDStdUniform,MC,0.012800000000000004,2.177469865235357,288819.0,0.1261638846669181
CLT,IIDStdUniform,MC,0.013000000000000005,2.177829019916402,280063.0,0.1232440253340125
CLT,IIDStdUniform,MC,0.013200000000000005,2.176635212936128,271702.0,0.1121394983335146
CLT,IIDStdUniform,MC,0.013400000000000006,2.177559268188148,263713.0,0.10523365500012005
CLT,IIDStdUniform,MC,0.013600000000000006,2.178615986699899,256073.0,0.10252859666676765
CLT,IIDStdUniform,MC,0.013800000000000005,2.1794620448942155,248763.0,0.10104522833292624
CLT,IIDStdUniform,MC,0.014000000000000005,2.179610676363383,241765.0,0.09856708233322327
CLT,IIDStdUniform,MC,0.014200000000000006,2.1779772686992445,235060.0,0.0946909893330788
CLT,IIDStdUniform,MC,0.014400000000000005,2.178951846731536,228632.0,0.09264809200006614
CLT,IIDStdUniform,MC,0.014600000000000005,2.179234415147597,222467.0,0.0898899453325915
CLT,IIDStdUniform,MC,0.014800000000000006,2.178882017053876,216550.0,0.08893495900035002
CLT,IIDStdUniform,MC,0.015000000000000006,2.1780384768136534,210868.0,0.0867981303332878
CLT,IIDStdUniform,MC,0.015200000000000007,2.177988287828,205409.0,0.08517911433288343
CLT,IIDStdUniform,MC,0.015400000000000006,2.177995189095078,200161.0,0.0823594376664308
CLT,IIDStdUniform,MC,0.015600000000000006,2.1792103730884302,195114.0,0.08068563933314483
CLT,IIDStdUniform,MC,0.01580000000000001,2.179787808466842,190257.0,0.07895154333285366
CLT,IIDStdUniform,MC,0.016000000000000007,2.179027778089992,185581.0,0.07670125200032392
CLT,IIDStdUniform,MC,0.016200000000000006,2.178355450567456,181078.0,0.07511585799996585
CLT,IIDStdUniform,MC,0.016400000000000005,2.178482467650351,176738.0,0.07322615766679519
CLT,IIDStdUniform,MC,0.016600000000000007,2.178227986313905,172554.0,0.07129376433355598
CLT,IIDStdUniform,MC,0.01680000000000001,2.177838375280134,168518.0,0.07034881566626912
CLT,IIDStdUniform,MC,0.017000000000000008,2.178051750524766,164624.0,0.06872903533439967
CLT,IIDStdUniform,MC,0.017200000000000007,2.178404569594652,160865.0,0.06746464900000622
CLT,IIDStdUniform,MC,0.017400000000000006,2.1798130080318905,157235.0,0.0651880216664722
CLT,IIDStdUniform,MC,0.017600000000000005,2.1778178275382145,153729.0,0.06438072533273953
