abs_tol,IIDStdUniform_solution,IIDStdGaussian_solution,Lattice_solution,Sobol_solution,IIDStdUniform_time,IIDStdGaussian_time,Lattice_time,Sobol_time,IIDStdUniform_n,IIDStdGaussian_n,Lattice_n,Sobol_n
0.003200000000000001,0.7224275473350059,0.7226115966574853,0.7227566906334101,0.7229346949969481,0.4106420323333377,0.11115136933332792,0.0027769063333285735,0.024398662999999488,1334497.0,1386399.6666666667,341.3333333333333,682.6666666666666
0.003400000000000001,0.7227639569073762,0.7226471203641989,0.7227566906334101,0.7229346949969481,0.3628527946666698,0.09837447133333892,0.002754993333335657,0.024398582000003444,1182134.3333333333,1228110.6666666667,341.3333333333333,682.6666666666666
0.003600000000000001,0.7229306724327783,0.7227295967598383,0.7227566906334101,0.7229346949969481,0.32351900400000017,0.08777326199999418,0.0027784133333265495,0.024697105333340613,1054453.3333333333,1095462.6666666667,341.3333333333333,682.6666666666666
0.0038000000000000013,0.7229667399515683,0.7225952578294517,0.7227216470878076,0.7229346949969481,0.2915475013333264,0.07850080466666516,0.0018263676666663287,0.0243809843333338,946396.6666666666,983203.0,170.66666666666666,682.6666666666666
0.004000000000000002,0.7231134999021491,0.7223539147693461,0.7227216470878076,0.7229346949969481,0.2617189210000011,0.06987837933332723,0.0019040749999987838,0.024371198000001943,854139.6666666666,887357.3333333334,170.66666666666666,682.6666666666666
0.0042000000000000015,0.7230840404263154,0.7222058124694094,0.7227216470878076,0.7229346949969481,0.2379481920000046,0.06399465766666405,0.0018477773333340035,0.024396076333327226,774745.6666666666,804875.0,170.66666666666666,682.6666666666666
0.004400000000000001,0.7228628671989195,0.7224302512200277,0.7227216470878076,0.7231550439723645,0.21761365866667384,0.057841329666672436,0.0018623263333381601,0.01651695133333912,705930.0,733382.6666666666,170.66666666666666,341.3333333333333
0.004600000000000002,0.723016491603197,0.7226034890591496,0.7227216470878076,0.7231550439723645,0.1991192076666645,0.054562840000007405,0.0018231163333268796,0.016562780000005734,645894.0,671011.3333333334,170.66666666666666,341.3333333333333
0.004800000000000002,0.7231772974078159,0.7226529399361534,0.7227216470878076,0.7231550439723645,0.18442252199999606,0.049172514999999827,0.0018634959999985767,0.01648717833333535,593204.6666666666,616272.6666666666,170.66666666666666,341.3333333333333
0.005000000000000002,0.7231426303236909,0.7228032204848601,0.7227216470878076,0.7231550439723645,0.17032787166667163,0.045058298666674546,0.001842361333331155,0.017397004666662497,546710.6666666666,567970.3333333334,170.66666666666666,341.3333333333333
0.005200000000000002,0.7230521040872796,0.7228629524134241,0.7227216470878076,0.7231550439723645,0.15749987166665846,0.041427846999994244,0.001884839666663159,0.016532048666666316,505477.6666666667,525133.3333333334,170.66666666666666,341.3333333333333
0.005400000000000002,0.7230278041517747,0.7228325198443734,0.7227216470878076,0.7231550439723645,0.1453298273333322,0.03854451600000175,0.0018260646666684959,0.0170395400000037,468740.6666666667,486967.3333333333,170.66666666666666,341.3333333333333
0.005600000000000002,0.722990881040536,0.7225845308824077,0.7227216470878076,0.7231550439723645,0.134447643333336,0.036188176999994916,0.0018491070000076586,0.020106598666662496,435869.3333333333,452817.0,170.66666666666666,341.3333333333333
