Stopping Criterion,Distribution,MC/QMC,abs_tol,solution,n_samples,time
CubMcClt,IIDStdUniform,MC,0.012400000000000005,2.1770810643900607,307618.0,0.142916452999998
CubMcClt,IIDStdUniform,MC,0.012600000000000005,2.1770641632470022,297995.0,0.1385483023332199
CubMcClt,IIDStdUniform,MC,0.012800000000000004,2.177469865235357,288819.0,0.13550254399979167
CubMcClt,IIDStdUniform,MC,0.013000000000000005,2.177829019916402,280063.0,0.13216149233327693
CubMcClt,IIDStdUniform,MC,0.013200000000000005,2.176635212936128,271702.0,0.12115360699954181
CubMcClt,IIDStdUniform,MC,0.013400000000000006,2.177559268188148,263713.0,0.11473685799956002
CubMcClt,IIDStdUniform,MC,0.013600000000000006,2.178615986699899,256073.0,0.11141088233337844
CubMcClt,IIDStdUniform,MC,0.013800000000000005,2.1794620448942155,248763.0,0.10915598500014312
CubMcClt,IIDStdUniform,MC,0.014000000000000005,2.179610676363383,241765.0,0.10641459766672294
CubMcClt,IIDStdUniform,MC,0.014200000000000006,2.1779772686992445,235060.0,0.10361936800018157
CubMcClt,IIDStdUniform,MC,0.014400000000000005,2.178951846731536,228632.0,0.1013317903331578
CubMcClt,IIDStdUniform,MC,0.014600000000000005,2.179234415147597,222467.0,0.09880465199967148
CubMcClt,IIDStdUniform,MC,0.014800000000000006,2.178882017053876,216550.0,0.09567692733344302
CubMcClt,IIDStdUniform,MC,0.015000000000000006,2.1780384768136534,210868.0,0.0933035983331744
CubMcClt,IIDStdUniform,MC,0.015200000000000007,2.177988287828,205409.0,0.09143932666665933
CubMcClt,IIDStdUniform,MC,0.015400000000000006,2.177995189095078,200161.0,0.08780021866641619
CubMcClt,IIDStdUniform,MC,0.015600000000000006,2.1792103730884302,195114.0,0.08637911966646546
CubMcClt,IIDStdUniform,MC,0.01580000000000001,2.179787808466842,190257.0,0.08416364333334059
CubMcClt,IIDStdUniform,MC,0.016000000000000007,2.179027778089992,185581.0,0.0823415576669504
CubMcClt,IIDStdUniform,MC,0.016200000000000006,2.178355450567456,181078.0,0.0800424189998618
CubMcClt,IIDStdUniform,MC,0.016400000000000005,2.178482467650351,176738.0,0.07803736400001071
CubMcClt,IIDStdUniform,MC,0.016600000000000007,2.178227986313905,172554.0,0.07609503266697477
CubMcClt,IIDStdUniform,MC,0.01680000000000001,2.177838375280134,168518.0,0.0743491346668937
CubMcClt,IIDStdUniform,MC,0.017000000000000008,2.178051750524766,164624.0,0.07273033166681368
CubMcClt,IIDStdUniform,MC,0.017200000000000007,2.178404569594652,160865.0,0.0705910360005267
CubMcClt,IIDStdUniform,MC,0.017400000000000006,2.1798130080318905,157235.0,0.06930194899996422
CubMcClt,IIDStdUniform,MC,0.017600000000000005,2.1778178275382145,153729.0,0.07042828699983754
CubMcClt,IIDStdUniform,MC,0.01780000000000001,2.1772759858310287,150339.0,0.06770792933366465
CubMcClt,IIDStdUniform,MC,0.01800000000000001,2.1778229006227563,147062.0,0.06655329300004571
CubMcClt,IIDStdUniform,MC,0.018200000000000008,2.179001589983088,143892.0,0.06630017300024822
CubMcClt,IIDStdUniform,MC,0.018400000000000007,2.1789417207020043,140826.0,0.06424616566710029
CubMcClt,IIDStdUniform,MC,0.018600000000000005,2.1785905216572132,137857.0,0.06232396166645534
CubMcClt,IIDStdUniform,MC,0.01880000000000001,2.179789450567616,134983.0,0.06120492733316496
CubMcClt,IIDStdUniform,MC,0.01900000000000001,2.178821401761988,132199.0,0.060707914999814726
CubMcClt,IIDStdUniform,MC,0.01920000000000001,2.179332216638346,129502.0,0.05893715799993515
CubMcClt,IIDStdUniform,MC,0.019400000000000008,2.180307555093896,126887.0,0.05836850533341931
CubMcClt,IIDStdUniform,MC,0.019600000000000006,2.17994216653543,124353.0,0.057021295666345395
CubMcClt,IIDStdUniform,MC,0.019800000000000005,2.1801029087560218,121894.0,0.05664847000025475
CubMcClt,IIDStdUniform,MC,0.02000000000000001,2.179878525482306,119510.0,0.05529419600012867
CubMcClt,IIDStdUniform,MC,0.02020000000000001,2.1802433077540795,117195.0,0.053323308666828474
CubMcClt,IIDStdUniform,MC,0.02040000000000001,2.1800187296141624,114948.0,0.05254231200008993
CubMcClt,IIDStdUniform,MC,0.020600000000000007,2.1803990203634838,112767.0,0.0526863826665552
CubMcClt,IIDStdUniform,MC,0.020800000000000006,2.1798244836146927,110648.0,0.05135981100011122
CubMcClt,IIDStdUniform,MC,0.02100000000000001,2.1808774396065935,108589.0,0.05067611633300354
CubMcClt,IIDStdUniform,MC,0.02120000000000001,2.180878247000587,106588.0,0.05013772633355984
CubMcClt,IIDStdUniform,MC,0.02140000000000001,2.1800050792127577,104643.0,0.048703168999963964
CubMcClt,IIDStdUniform,MC,0.021600000000000008,2.178936502924737,102752.0,0.04770329600008457
CubMcClt,IIDStdUniform,MC,0.021800000000000007,2.1802787299908166,100913.0,0.046564460666256004
CubMcClt,IIDStdUniform,MC,0.022000000000000013,2.1810079111287877,99124.0,0.046656114000143134
